Table S1. Information of taxon sampling in this study.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sequencing_ID,SRA_accession,Subfamily,Tribe,Genus,Subgenus,Species,Identified_by,Gap% in the concatenated nt alignment,Gap% in the concatenated aa alignment,Host,Collection_date,Collection_locality,Altitude
P009_WA01,SRR17213265,Deltocephalinae,Phlepsiini,Texananus,-,sp.,Christopher H. Dietrich,13.40%,13.40%,-,27-Jan-2019,"Mexico: Michoacan, Coeneo, Cerrito",2275m
P009_WF06,SRR17213261,Deltocephalinae,Phlepsiini,Excultanus,-,excultus,Christopher H. Dietrich,7.50%,7.50%,-,12-Jun-2017,"USA: North Carolina, Burke County, Linville Gorge",-
P001_WE12,SRR17213260,Deltocephalinae,Stegelytrini,Pseudododa,-,orientalis,Christopher H. Dietrich,11.00%,11.10%,-,30-Sep-2007/07-Oct-2007,"Thailand: Chiang Mai, Doi Chiang Dao WS Nature trail","491m,"
P001_WF05,SRR17213259,Deltocephalinae,Stegelytrini,Placidellus,-,ishiharei,Christopher H. Dietrich,8.80%,8.80%,-,21-Jun-2006/28-Jun-2006,"Thailand: Chaiyaphum, Tat Tone National Park",250m
P003_WE09,SRR17213258,Deltocephalinae,Stegelytrini,Paradoxivena,-,sp.,Christopher H. Dietrich,3.70%,3.70%,-,05-Nov-2006/08-Nov-2006,"Thailand: Loei, Phu Ruea National Park Ma Kraow ditch",1167m
P005_WH03,SRR17213257,Deltocephalinae,Stegelytrini,Sychentia,-,n.sp.,Christopher H. Dietrich,5.70%,5.60%,-,08-Jul-2019,"Vietnam: Ninh Binh, Cuc Phuong National Park",350m
P005_WH04,SRR17213256,Deltocephalinae,Stegelytrini,Pachymetopius,-,decoratus,Christopher H. Dietrich,6.00%,6.00%,-,30-Jun-2019,"China: Taiwan, Miaoli County, Rt. 124, Nanchuang",480m
P005_WH05,SRR17213255,Deltocephalinae,Stegelytrini,Daochia,-,reticulata,Christopher H. Dietrich,7.00%,7.00%,-,10-Jul-2019,"Vietnam: Vinh Phuc, Tam Dao",970m
P006_WH09,SRR17213254,Deltocephalinae,Stegelytrini,Kunasia,-,carina,Christopher H. Dietrich,6.70%,6.70%,-,17-Jan-2009,"Malaysia: Sarawak, Gunung Mulu National Park, Camp 1",207m
P007_WC02,SRR17213253,Deltocephalinae,Stegelytrini,Doda,-,laudata,Christopher H. Dietrich,6.40%,6.40%,-,15-Jul-2008/22-Jul-2008,"Thailand: Nakhon Si Thammarat, Namtok Yong National Park",499m
P008_WF09,SRR17213252,Deltocephalinae,Stegelytrini,n.gen.T1,-,n.sp.1,Christopher H. Dietrich,6.70%,6.70%,-,10-Feb-2009/17-Feb-2009,"Thailand: Surat Thani, Khao Sok National Park, Klong Morg Unit",87m
P008_WF11,SRR17213250,Deltocephalinae,Stegelytrini,Wyuchiva,-,n.sp.,Christopher H. Dietrich,6.80%,6.80%,-,21-Jul-2006/27-Jul-2006,"Thailand: Sakon Nakhon, Phu Phan National Park, Behind office",318m
P008_WF12,SRR17213249,Deltocephalinae,Stegelytrini,Trunchinus,-,laosensis,Christopher H. Dietrich,6.60%,6.70%,-,28-Aug-2007/04-Sep-2007,"Thailand: Chiang Mai, Doi Chiang Dao WS Nature Trail",491m
P001_WA06,SRR17213248,Deltocephalinae,Selenocephalini,Sapoba,-,serricauda,Christopher H. Dietrich,2.60%,2.60%,-,15-Mar-2009/30-Mar-2009,"Cameroon: Southwest, nr. Korup National Park at bridge over river",-
P001_WA08,SRR17213247,Deltocephalinae,Selenocephalini,Bumka,-,armatissima,Christopher H. Dietrich,6.10%,6.10%,-,15-Mar-2009/30-Mar-2009,"Cameroon: Southwest, nr. Korup National Park at bridge over river",-
P001_WA09,SRR17213246,Deltocephalinae,Selenocephalini,Adama,Krisnella,australis,Christopher H. Dietrich,8.60%,8.60%,-,Jan-2009,Swaziland: Mlawula Nature Reserve,545m
P001_WA10,SRR17213245,Deltocephalinae,Selenocephalini,Bumka,-,pylaon,Christopher H. Dietrich,3.20%,3.20%,-,15-Mar-2009/30-Mar-2009,"Cameroon: Southwest, nr. Korup National Park at bridge over river",-
P001_WB01,SRR17213244,Deltocephalinae,Selenocephalini,Adama,Paracostemma,muelianum,Christopher H. Dietrich,6.40%,6.40%,-,17-Mar-2009/30-Mar-2009,"Cameroon: Adamaoua, Mbam et Djerem National Park, Camp Ganga",-
P001_WC06,SRR17213243,Deltocephalinae,Selenocephalini,Selenocephalus,-,obsoletus,Christopher H. Dietrich,2.60%,2.60%,-,28-Jun-2010/03-Jul-2010,"France: Provence-Alpes-Cote d'Azur, Vaucluse, Vaison-la-Romaine",-
P004_WB10,SRR17213242,Deltocephalinae,Selenocephalini,Citorus,-,stipes,James N. Zahniser,2.00%,2.00%,-,11-Nov-2007,"Zambia: Copperbelt Prov., ~12 km SSE of Kitwe, Greystone Farm",1247m
