Row Sort,Column Sort,RAPiD Genomics Sample Code,Unique Client Code,Ct value,Assembly quality,# phyt_protein-coding genes,,# phyt_barcode_gene,,# other_phyt_gene,,# plant_barcode_gene,,RAPiD Genomics Lab Use ONLYConcentration (ng / uL),RAPiD Genomics Lab Use ONLYTotal DNA (ng),Concentration (ng / uL),Volume (uL),ul,eluition,16Sr assignment,Tuf,SecA,SecY,rpIV-rpsC,groEl,amp gene,other rp,Dnak,ffh,ftsY,GroES,GrpE,imp,yidC,vmp,Subfamily,Tribe,subtribe,Genus,species,Country,,,,,,,,,
61,6,ILL_137402_P001_WF01,1-2.1,33.49,bad,18,10,1,2,15,11,2,50,15.6932713,549.2644956,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,14,ILL_137402_P001_WF02,40-61.1,26.2,good,148,82,19,44,127,95,2,50,1.710198181,59.85693634,1,35,,,,I,I,I,I,I,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Macrostelini,,Macrosteles,guttatus,"MONGOLIA:Hovsgol, Tumurbulag, Bugcei (Bugceiin) Gol 45.5 km SW of Moron 49°15.7008N  99°5294520E 1618m 23 Jul 2005 C. Bartlett SRP05072301",,,,,,,,,
63,22,ILL_137402_P001_WF03,42-43.1,30.98,bad,26,14,2,5,22,17,2,50,0.74294801,26.00318036,1,35,,,,oBa,,,,,,rpsS,,,,,,,,,Deltocephalinae,Macrostelini,,Balclutha,n. sp. FI1,Fiji,,,,,,,,,
64,30,ILL_137402_P001_WF04,DEL 203,31.27,good,138,77,18,42,117,88,3,75,3.828686327,134.0040214,1,35,,,16SrV-C,V-C/D,16SrV-C/D,16SrV-C/D,V,V-C/D,,rpIB/rpIO/rpIP/rpsS,16SrV-C/D,16SrV-C/D,,,,,,,Deltocephalinae,Scaphoideini,,Osbornellus_(Osbornellus),auronitens,"Switzerland, Stabio",,,,,,,,,
65,38,ILL_137402_P001_WF05,BM1-VT3,22.08,good,113,63,15,35,95,71,3,75,0.895395048,31.33882668,1,35,,,16SrVI-L,V-C/D,V,VI,VI,V,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Cicadulini,,Rhopalopyx,elongata,"Switzerland, Bolle di Magadino",,,,,,,,,
66,46,ILL_137402_P001_WF06,DEL 104,27.65,bad,7,4,2,5,3,2,2,50,1.210802713,42.37809494,1,35,,,,oBa,,,,,,rpIB,,,,,,,,,Deltocephalinae,Scaphoideini,,Tongdotettix,youngeouni,"SOUTH AFRICA: WCape Prov., Theewaterskloof Dam, Franschhoek-Villiersdorp Rd., S33°58.491' E19°10.360'  328 m, 16-XII-2004  #04-48, col. J.N. Zahniser  sweep",,,,,,,,,
67,54,ILL_137402_P001_WF07,DEL 204,26.4,good,153,85,18,42,132,99,3,75,10.82022289,378.7078011,1,35,,,16SrI-F,I,I,I,I,I,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Athysanini,,Euscelidius,variegatus,Switzerland Canton Vaud,,,,,,,,,
68,62,ILL_137402_P001_WF08,1-1.1,32.4,bad,6,3,1,2,3,2,2,50,17.65405562,617.8919466,1,35,,,,oBa,,,,,,,,,,,,,,,Deltocephalinae,Stenometopiini,,Stirellus,sp.,"ZAMBIA: Northwestern Prov. ~11km SW Mwinilunga Nkunyi Local Forest S11°48.809’ E 24°21.953’ sweep,   .XI.2007 ZA-04-2, JN Zahniser",,,,,,,,,
69,70,ILL_137402_P001_WF09,DEL-087,32.74,bad,13,7,3,7,7,5,3,75,1.610319087,56.36116806,1,35,20,,,oBa,,,,IX,,rpIB,,,,,,,,,Deltocephalinae,Paralimnini,Paralimnina,Adarrus,n. sp. ?,"MONGOLIA, Hovsgol Erdenebulgan Uur (Uuriin) Gol 32.6 km NE of Erdenebulgan 7/14-15/2005 9:00 PM to 11:00 AM
1063m elev 50°18.1158 N 101°55.7214E1012 Gelhaus Field Number 65 Way Pt",,,,,,,,,
70,78,ILL_137402_P001_WF10,DEL-092,30.63,bad,18,10,4,9,11,8,3,75,0,0,1,35,30,,,oBa,oBa,,,,,rpIB/rpIO,,,,,,,,,Deltocephalinae,Scaphoideini,,New Genus ZA5,,"Rep. of Congo, Dept. Pool
Iboubikro site, MT 6
Lesio-Loun Pk, 340m. 
3º16.196’S, 015º28.267’E
05 viii, 2008, Braet + Sharkey",,,,,,,,,
71,86,ILL_137402_P001_WF11,DEL 011,27.204,good,84,47,10,23,70,53,4,100,2.992856016,104.7499606,1,35,,,,oBa,IV,,na,algae,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Stenometopiini,,gen.,sp.,,Madagascar,,"21°13'34.2""S","47°22'11.4""E",,1110,rainforest,,"Fianarantsoa Prov., Parc National Ranomafana, Vohiparara, at broken bridge"
72,94,ILL_137402_P001_WF12,G14,21.3,good,146,81,18,42,126,95,2,50,2.751043474,96.28652158,1,35,,,16SrIX-J,oBa,V,IX,IX,XIV,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Opsiini,,Neoaliturus,argillaceus ,Israel,"31°59'33.1""N",,"34°48'45.6""E",,,,,Rishon Lezion,
73,7,ILL_137402_P001_WG01,50-46.1,20.27,good,156,87,20,47,133,100,3,75,1.179261946,41.27416811,1,35,,,,I,I,I,I,I,,rpIB/rpIO/rpIP/rpsS,,,,,,,,,Deltocephalinae,Scaphytopiini,,Scaphytopius (Cloanthanus),aequus,Mexico,"19°59'00.0""N",,"97°11'00.0""W",,200,rainforest,,"Veracruz, 6km NE 6 km NE Tlapacoyan, Cascada Encantada",
